ASIN,MyPrice,CompetitorPrice,MyDelivery,CompetitorDelivery,MyRank,CompetitorRank,Category,MyImage,CompetitorImage,MyLink,CompetitorLink,Status,Notes
B076TVLK7R,,,,,,,,,,,,violation,
B00UC151FG,,,,,,,,,,,,yes,
